year,month,day,category,name,fenhong,peigujia,songzhuangu,peigu,suogu,panqianliutong,panhouliutong,qianzongguben,houzongguben,fenshu,xingquanjia,years
2007,11,5,5,股本变化,0.0,0.0,0.0,0.0,0,0.0,300000.0,17902098.0,18302098.0,0,0,20071105
2008,2,5,5,股本变化,0.0,0.0,0.0,0.0,0,300000.0,400000.0,18302098.0,18302098.0,0,0,20080205
2008,5,29,1,除权除息,1.568600058555603,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,20080529
2008,9,19,1,除权除息,1.3183000087738037,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,20080919
2009,6,1,1,除权除息,1.495300054550171,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,20090601
2009,9,17,1,除权除息,1.2417000532150269,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,20090917
2010,6,3,1,除权除息,1.3003000020980835,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,20100603
2010,9,16,1,除权除息,1.6062999963760376,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,20100916
2010,11,8,5,股本变化,0.0,0.0,0.0,0.0,0,400000.0,16152208.0,18302098.0,18302098.0,0,0,20101108
2011,6,1,1,除权除息,1.8357000350952148,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,20110601
2011,9,15,1,除权除息,1.6229000091552734,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,20110915
2012,6,7,1,除权除息,1.6461999416351318,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,20120607
2012,9,18,1,除权除息,1.524999976158142,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,20120918
2013,6,6,1,除权除息,1.3106000423431396,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,20130606
2013,9,12,1,除权除息,1.6109999418258667,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,20130912
2013,11,8,5,股本变化,0.0,0.0,0.0,0.0,0,16152208.0,16192208.0,18302098.0,18302098.0,0,0,20131108
2014,6,5,1,除权除息,1.5755000114440918,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,20140605
2014,9,19,1,除权除息,1.6749999523162842,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,20140919
2015,7,9,1,除权除息,0.960099995136261,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,20150709
2015,9,18,1,除权除息,0.6247000098228455,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,20150918
2016,6,8,1,除权除息,0.24860000610351562,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,20160608
2016,9,21,1,除权除息,0.21310000121593475,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,20160921
2017,6,22,1,除权除息,0.3801000118255615,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,20170622
2017,9,15,1,除权除息,0.6926000118255615,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,20170915
2018,6,21,1,除权除息,0.6074000000953674,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,20180621
2018,9,21,1,除权除息,0.8880000114440918,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,20180921
2019,6,28,1,除权除息,0.8999999761581421,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,20190628
2019,9,24,1,除权除息,0.7764999866485596,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,20190924
2020,6,30,1,除权除息,0.660099983215332,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,20200630
2020,9,22,1,除权除息,0.8741999864578247,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,20200922
2021,6,29,1,除权除息,0.8741999864578247,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,20210629
2021,9,17,1,除权除息,1.3040000200271606,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,20210917
2022,6,28,1,除权除息,0.9621999859809875,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,20220628
2022,9,20,1,除权除息,2.0257999897003174,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,20220920
2023,6,28,1,除权除息,2.200000047683716,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,20230628
2023,9,20,1,除权除息,2.0999999046325684,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,20230920
2024,6,26,1,除权除息,2.299999952316284,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,20240626
2024,9,19,1,除权除息,2.200000047683716,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,20240919
